"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"1932","982126058799076",2019,NA,NA,0,1,1,NA,NA,"1",2,"iteroparity"
"1933","982126058799049",2019,NA,NA,0,1,NA,NA,NA,"1",1,"semelparity"
"1934","982126058799002",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1935","982126058799072",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1936","982126058799053",2019,NA,"control",0,0,1,NA,NA,"2",1,"semelparity"
"1937","982126058799095",2019,NA,"control",0,1,1,NA,NA,"1",2,"iteroparity"
"1938","982126058799008",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1939","982126058799044",2019,NA,"control",0,NA,1,NA,NA,"2?",1,"semelparity"
"1940","頭P",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"1941","982126058799038",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1942","982126058799004",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1943","982126058799007",2019,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1944","982126058799010",2019,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1945","982126058798975",2019,"male",NA,1,1,NA,NA,NA,"0",2,"iteroparity"
"1946","982126058799036",2019,NA,"control",0,1,NA,NA,NA,"1",1,"semelparity"
"1947","982126058799075",2019,NA,NA,0,NA,1,NA,NA,"2?",1,"semelparity"
"1948","982126058798911",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1949","982126058798970",2019,NA,"control",0,1,1,NA,NA,"1",2,"iteroparity"
"1950","982126058798941",2019,"male","early",0,1,NA,NA,NA,"1",1,"semelparity"
"1951","982126058798994",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1952","982126058798956",2019,NA,"control",0,0,0,NA,NA,">2",0,NA
"1953","982126058798944",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1954","982126058798977",2018,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1955","982126058798954",2019,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1956","982126058798922",2019,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1957","982126058798990",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
