"","id","cohort","sex","treatment","age0_mature","age1_mature","age2_mature","age3_mature","age4_mature","age_at_mature","repeatspawn","spawning_strategy"
"1045","0DRG",2016,"female","early",0,0,NA,NA,NA,">1",0,NA
"1046","RYYRRY",2016,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1047","RYYRRD",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1048","RYYRRP",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"1049","RYYRGR",2015,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1050","RYYRGG",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1051","RYYRGY",2016,"female","early",0,NA,NA,NA,NA,">0",0,NA
"1052","RYYRGD",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1053","RYYRGP",2016,"male","early",0,NA,NA,NA,NA,">0",0,NA
"1054","RYYRYR",2016,"male","early",0,NA,NA,NA,NA,">0",0,NA
"1055","RRRR?Y",2014,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1056","RYYRYG",2016,"male","early",0,NA,NA,NA,NA,">0",0,NA
"1057","RYYRYY",2016,"female","early",0,NA,NA,NA,NA,">0",0,NA
"1058","RYYRYD",2016,"male","early",0,NA,NA,NA,NA,">0",0,NA
"1059","RYYRYP",2013,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1060","RYYRDR",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1061","RYYRDG",2016,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1062","RYYRDY",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"1063","RYYRDD",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"1064","RYRBYP",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1065","RYRBYB",2015,"female","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1066","RYRBDR",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1067","RYRBDG",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1068","RYYRDP",2016,"female","control",0,NA,NA,NA,NA,">0",0,NA
"1069","RYRBDY",2016,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1070","RYRBDD",2015,"female","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1071","RYRBDP",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1072","RYRBDB",2016,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1073","RYRBPR",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1074","RYRBPG",2016,"female","control",0,NA,NA,NA,NA,">0",0,NA
"1075","RYRBPY",2014,"male","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1076","RYRBPD",2016,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1077","RYRBPP",2015,"male","control",NA,1,1,NA,NA,"1",2,"iteroparity"
"1078","RYRBPB",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1079","RYYGDY",2016,"female","late",0,0,NA,NA,NA,">1",0,NA
"1080","RYRBBG",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1081","RYRBBY",2016,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1082","RYRBBD",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1083","RYRBBP",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1084","RYRBBB",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1085","RYYRDB",2016,"female","control",0,NA,NA,NA,NA,">0",0,NA
"1086","0YPB",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1087","RYYRPR",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1088","RYYRPG",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"1089","RYYRPD",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1090","RYYRPP",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"1091","RYYRPB",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1092","RYYRBR",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1093","RYYRBG",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1094","RYYRBY",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1095","RYYRBD",2016,"female","control",0,NA,NA,NA,NA,">0",0,NA
"1096","RYYRBP",2014,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1097","RYYRBB",2016,"female","control",NA,0,NA,NA,NA,">1",0,NA
"1098","RYYDGR",2016,"female","control",0,0,NA,NA,NA,">1",0,NA
"1099","RYYGRR",2016,"female","control",NA,0,NA,NA,NA,">1",0,NA
"1100","RYYGRG",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1101","RYYGRY",2016,"female","control",0,0,NA,NA,NA,">1",0,NA
"1102","RRYRY?",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1103","RYYGRD",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1104","RYYGRP",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1105","RYYGRB",2016,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1106","0DRY",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1107","RYYGGR",2014,"male","control",NA,NA,0,NA,NA,">2?",0,NA
"1108","RYYYPB",2016,"female",NA,0,1,NA,0,NA,"1",1,"semelparity"
"1109","RYYGGG",2015,"female","control",NA,0,NA,NA,NA,">1",0,NA
"1110","RYYGGY",2016,"female","control",0,NA,NA,NA,NA,">0",0,NA
"1111","RYYGGD",2015,"male","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1112","RYYGGP",2014,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1113","0DRP",2016,NA,NA,0,0,NA,NA,NA,">1",0,NA
"1114","RYYGGB",2016,"male","control",NA,0,NA,NA,NA,">1",0,NA
"1115","RYYGYR",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1116","RYYGYG",2015,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1117","RYYGYY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1118","RYYGYD",2015,"male","early",NA,0,NA,NA,NA,">1",0,NA
"1119","RYYGYP",2015,"male","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1120","RYYGYB",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"1121","RYYGDR",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"1122","RYYGDG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1123","RYYYYB",2016,"male",NA,0,0,NA,NA,NA,">1",0,NA
"1124","RYYGDD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1125","RYYGDP",2016,NA,"late",0,0,NA,NA,NA,">1",0,NA
"1126","RYYGDB",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1127","RYYGPR",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1128","RYYGPG",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1129","RYYGPY",2016,"male","late",0,0,NA,NA,NA,">1",0,NA
"1130","RYYGPD",2016,"female","late",0,1,NA,NA,NA,"1",1,"semelparity"
"1131","RYYGPP",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"1132","RYYGPB",2014,"female","late",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1133","RYYGBR",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"1134","RYYGBG",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"1135","RYYYPP",2015,"female","late",NA,1,NA,NA,NA,"1",1,"semelparity"
"1136","RYYGBY",2014,"male","early",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1137","RYYGBD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1138","RYYGBP",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1139","RYYGBB",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1140","RYYYRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1141","RYYYRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1142","RYYYRY",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1143","RYYYRD",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1144","RYYYRP",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1145","RYYYRB",2016,NA,"early",0,0,NA,NA,NA,">1",0,NA
"1146","RYYYGR",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1147","RYYYGG",2015,"female","early",NA,1,NA,NA,NA,"1",1,"semelparity"
"1148","RYYYGY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1149","RYYYGD",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1150","RYYYGP",2016,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"1151","RYYYGB",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1152","RYYYYR",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1153","RYYYYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1154","RYYYYY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1155","BPPPPP",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1156","BPPPPB",2016,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"1157","BPPPBP",2016,NA,"early",0,0,NA,NA,NA,">1",0,NA
"1158","P",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"1159","BPPPBB",2016,"male","early",1,1,NA,NA,NA,"0",2,"iteroparity"
"1160","RYYYYD",2016,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"1161","RYYYYP",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1162","RYYYDR",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1163","RYYYDG",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1164","RYYYDY",2016,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"1165","RYYYDD",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1166","RYYYDP",2016,"male",NA,0,0,NA,NA,NA,">1",0,NA
"1167","RYYYPR",2016,"male","late",0,0,NA,NA,NA,">1",0,NA
"1168","RYYYDB",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1169","RYYYPG",NA,"male",NA,NA,NA,NA,NA,NA,">0",0,NA
"1170","RYYYPY",NA,"male","late",NA,NA,NA,NA,NA,">0",0,NA
"1171","RYYYPD",NA,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"1172","RYYDYB",2016,"female",NA,0,1,NA,NA,NA,"1",1,"semelparity"
"1173","RRYYRR?",2015,"male","control",NA,0,NA,NA,NA,">1",0,NA
"1174","RYYYBR",2016,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1175","RYYYBG",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1176","RYYYBY",2016,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1177","RYYYBD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1178","RYYYBP",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"1179","RYYYBB",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"1180","RYYDRR",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1181","RYYDRG",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1182","RYYDRY",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1183","RYYDRD",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1184","RYYDRP",2016,"female","control",0,1,NA,NA,NA,"1",1,"semelparity"
"1185","RYYDRB",2015,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1186","RYYDGG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1187","RYYDGY",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1188","RYYDGD",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1189","RYYDGP",2015,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1190","RYYDGB",2015,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1191","RYYDYR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1192","RYYDYG",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1193","RYYDYY",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1194","RYYDYD",2016,"female",NA,0,0,NA,NA,NA,">1",0,NA
"1195","RYYDYP",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1196","RYYDDR",2015,"male","control",NA,0,NA,NA,NA,">1",0,NA
"1197","RYYDDG",2016,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1198","RRYRBP",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"1199","RYYDDY",NA,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"1200","RYYDDD",2015,NA,"control",NA,0,NA,NA,NA,">1",0,NA
"1201","RYYDDP",2016,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1202","RYYDDB",2016,"male","control",0,NA,NA,NA,NA,">0",0,NA
"1203","RYYDPR",2016,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1204","RYYDPG",2016,NA,"control",0,0,NA,NA,NA,">1",0,NA
"1205","RYYDPY",2015,"male","control",NA,0,0,NA,NA,">2",0,NA
"1206","RYYDPD",2015,NA,NA,NA,0,NA,NA,NA,">1",0,NA
"1207","RYYDPP",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1208","RYYDPB",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1209","RYYDBR",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1210","RYYDBG",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1211","RYYDBY",2016,"female","early",0,1,NA,NA,NA,"1",1,"semelparity"
"1212","0DRB",2016,"male","early",0,1,NA,NA,NA,"1",1,"semelparity"
"1213","RYYDBD",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1214","RYRPBYY",2016,"female","early",0,1,NA,NA,NA,"1",1,"semelparity"
"1215","RYYDBP",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1216","RYYDBB",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1217","RYYPRR",2016,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1218","RYYPRG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1219","RYYPRY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1220","RYYR?Y",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1221","RBYYGD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1222","RYYPRD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1223","RYRDB?",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1224","RYYPRP",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1225","RYYPRB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1226","RYYPGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1227","RYYPGG",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1228","RYYPGY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1229","RRYGPD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1230","RYYPGD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1231","RYYPGP",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1232","RYYPGB",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1233","RYYPYR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1234","RYYPYG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1235","RYYPYY",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1236","RYYPYD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1237","RYYPPR",2015,"female","control",NA,NA,NA,NA,NA,">0",0,NA
"1238","RYYPYP",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1239","RYYPYB",2016,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1240","RYYPDR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1241","RYYPDG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1242","RYYPDY",2015,"male",NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"1243","RYYPPR?",2015,"female",NA,NA,NA,NA,NA,NA,">0",0,NA
"1244","gY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1245","gD",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1246","gR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1247","gG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1248","gB",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1249","gP",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1250","RYYPPY",2015,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1251","RYYPPG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1252","RYYPPP",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1253","RYYPPB",2015,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1254","RYYPBR",NA,"male","control",NA,NA,NA,NA,NA,">0",0,NA
"1255","RYYRBRR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1256","RYYPBG",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1257","RYYPBY?",2015,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1258","RYYPBY",2015,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1259","RYYPBB",2014,"male","control",NA,NA,NA,1,NA,"3?",1,"semelparity"
"1260","RYYBRR",2016,"female",NA,NA,0,NA,NA,NA,">1",0,NA
"1261","RYYPDD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1262","RYYPDP",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1263","RYYPDB",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1264","RYYPPGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1265","RYYBRG",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1266","RYYBRY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1267","RYYBRD",2017,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1268","RYYBRP",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1269","RYYBRB",2015,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1270","RYYBGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1271","RYYBGG",NA,"female",NA,NA,NA,NA,NA,NA,">0",0,NA
"1272","RYYBGY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1273","RYRPPRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1274","gDD",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1275","RYYBGD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1276","RYYBGP",NA,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1277","0DGR",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1278","RYYBGB",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1279","0DGG",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1280","RYYBYR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1281","RYYBYG",NA,"male","early",NA,NA,NA,NA,NA,">0",0,NA
"1282","0DGY",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1283","0DGD",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1284","RYYBYY",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1285","RRRRRRG",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1286","RYYBYD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1287","RYYBYP",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1288","RYYBYB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1289","0DGP",2017,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1290","0DGB",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1291","0DYR",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1292","RYYBDR",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1293","0DYG",2017,"male",NA,NA,NA,1,NA,NA,"2?",1,"semelparity"
"1294","0DYP",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1295","RYYBDG",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1296","0DYB",2017,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1297","0DDG",2017,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1298","0DDB",2017,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1299","RYYBDY",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1300","RYYBDD",2016,NA,"late",NA,0,NA,NA,NA,">1",0,NA
"1301","0DPR",2017,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1302","RYYBDP",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1303","RYRRGR?",2015,"female","late",NA,NA,NA,NA,NA,">0",0,NA
"1304","RYYBDB",2016,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1305","RYYBPR",NA,"female?","early",NA,NA,NA,NA,NA,">0",0,NA
"1306","RYYBPG",2015,"male","early",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1307","RYYBPY",2015,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1308","RYYBPD",2016,"female?","early",NA,NA,NA,NA,NA,">0",0,NA
"1309","0DPG",2017,"female","early",NA,NA,NA,NA,NA,">0",0,NA
"1310","0DPY",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1311","RYYBPP",2015,"female","early",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1312","0DPD",2017,NA,NA,0,NA,NA,NA,NA,">0",0,NA
"1313","0DPP",2017,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1314","0DPB",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1315","RYYBPB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1316","RYYBBR",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1317","0DBR",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1318","RYYBBG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1319","RYYBBY",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1320","RYYBBD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1321","RYYBBP",2016,"male","early",NA,0,NA,NA,NA,">1",0,NA
"1322","0DBG",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1323","RYYBBB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1324","RYDRRR",2016,NA,"early",NA,0,NA,NA,NA,">1",0,NA
"1325","RYDRRG",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1326","RYDRRY",2015,NA,"control",NA,NA,0,NA,NA,">2?",0,NA
"1327","RYDGDP",2017,"male","control",1,NA,NA,NA,NA,"0",1,"semelparity"
"1328","BRPBRP",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1329","0DBY",2017,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1330","RYDRRD",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1331","RYDRRP",2015,"female","control",NA,NA,1,NA,NA,"2?",1,"semelparity"
"1332","0DBD",2017,NA,"late",0,NA,NA,NA,NA,">0",0,NA
"1333","RYDRRB",2016,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1334","RYDRGR",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1335","RYDRGG",2016,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1336","RYDRGY",2016,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1337","RYDRGD",NA,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1338","RYDGDD",2016,"female",NA,NA,1,NA,NA,NA,"1",1,"semelparity"
"1339","RYDRGP?",2014,NA,"late",NA,NA,NA,NA,NA,">0",0,NA
"1340","RGDYGRG",2015,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1341","RYDRGB",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1342","RYDRYR",NA,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1343","0DBP",2017,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1344","RYR",NA,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1345","RYDRYG",2015,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1346","RYDRYY",2016,"female","control",NA,0,NA,NA,NA,">1",0,NA
"1347","0DBB",2017,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1348","0PRR",2017,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1349","0PRG",2017,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1350","0PRY",2017,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1351","RYDRYD",2016,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1352","0PRD",2017,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1353","0PRP",2017,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1354","RYYGYG?",2015,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1355","RYDRYP",2016,"male","control",NA,1,NA,NA,NA,"1",1,"semelparity"
"1356","0PRB",2017,NA,"control",NA,NA,NA,NA,NA,">0",0,NA
"1357","0PGR",2017,NA,"control",0,NA,NA,NA,NA,">0",0,NA
"1358","GD",2018,NA,NA,NA,NA,NA,NA,NA,">0",0,NA
"1359","RYDRYB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1360","RYDRDR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1361","RYDRDG",2016,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1362","RYDRDY",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1363","RYDRDD",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1364","0PGG",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1365","RYDRDP",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1366","0PGY",2017,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1367","RYYRRRR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1368","0PGD",2017,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1369","0PGP",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
"1370","RYDRDB",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1371","BBYG",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1372","RYDRPR",NA,NA,"early",NA,NA,NA,NA,NA,">0",0,NA
"1373","0PGB",2017,NA,"early",0,NA,NA,NA,NA,">0",0,NA
